Year,Month,Three_Component_Index,News_Based_Policy_Uncert_Index
1985,1,125.2247401,103.748803
1985,2,99.02080941,78.31319296
1985,3,112.1905089,100.7614751
1985,4,102.8113192,84.77886287
1985,5,120.0827158,98.05365257
1985,6,132.7131905,119.5971495
1985,7,128.0018243,111.4151148
1985,8,126.7661096,111.2470108
1985,9,126.7685572,111.1844594
1985,10,116.0577068,93.09910377
1985,11,122.0368763,85.09913268
1985,12,133.2439203,104.177217
1986,1,155.9329159,144.2664733
1986,2,159.46768,118.9935279
1986,3,160.1981003,120.1600605
1986,4,150.3662631,102.4773576
1986,5,132.6379187,132.3861723
1986,6,122.5117687,115.0522833
1986,7,132.1196274,130.8210516
1986,8,127.5524989,118.302608
1986,9,132.0183316,125.8942151
1986,10,111.5092654,91.82046226
1986,11,115.0202851,98.32894298
1986,12,108.9681086,87.97967602
1987,1,122.1142767,110.4333286
1987,2,109.1452348,76.96607408
1987,3,122.0848608,99.05957577
1987,4,110.8597111,79.53235922
1987,5,110.0429144,87.58505029
1987,6,121.1579102,106.5728492
1987,7,106.3480023,81.38941366
1987,8,74.83796371,52.79015023
1987,9,78.98139387,59.86959485
1987,10,143.6030901,170.3220901
1987,11,155.4220801,183.1025343
1987,12,135.4726514,149.0111468
1988,1,131.5214554,142.8728467
1988,2,116.5843233,102.0328943
1988,3,105.0524585,82.35363467
1988,4,113.6559774,97.85680131
1988,5,96.14572394,99.12744374
1988,6,89.78250976,88.28594531
1988,7,85.18198211,80.83589433
1988,8,100.1584546,94.88969064
1988,9,94.55408769,85.35680233
1988,10,102.2307809,98.25379827
1988,11,113.9598924,102.2339961
1988,12,99.6663284,77.82810148
1989,1,105.0753627,87.42640643
1989,2,84.84483725,51.35064106
1989,3,97.21567285,72.52324803
1989,4,108.8630553,92.37982688
1989,5,87.81603912,83.75286515
1989,6,94.83974253,95.78629939
1989,7,84.56992011,78.2565948
1989,8,95.86038194,83.10930612
1989,9,90.91820003,74.69547792
1989,10,91.59669167,76.44955399
1989,11,107.8491262,105.0474781
1989,12,107.0952327,103.7966807
1990,1,100.3591782,92.32149379
1990,2,89.59095399,110.4462669
1990,3,86.06528908,104.4614083
1990,4,76.66170022,88.44817178
1990,5,118.5379459,97.38793637
1990,6,120.5267355,100.8643396
1990,7,111.5696211,86.28017836
1990,8,142.165239,139.322684
